Hogy van magyarul: {}? ,Hogy van németül: {}? 
das Heft,füzet
bekommen,megkapni
helfen,segíteni
die Arbeit,munka
aufräumen,rendet rakni
aufstehen,felkelni
duschen,zuhanyozni
einkaufen,bevásárolni
der Fernseher,TV
die Freizeit,szabadidő
die Hausarbeit,házimunka
kochen,főzni
lange,sokáig
meistens,legtöbbször
das Zimmer,szoba
der Schluss,valami vége
das Essen,étel
die Farbe,szín
das Lieblingsessen,kedvenc étel
der Baum,fa
die Dose,konzervdoboz
die Fabrik,gyár
gar nicht,egyáltalán nem
gesund,egészséges
die Melone,dinnye
der Schinken,sonka
das Schnitzel,hússzelet
die Tomatensuppe,paradicsomleves
das Kochbuch,szakácskönyv
der Obstsalat,gyümölcssaláta
ohne,nélkül
höflich,udvarias
die Höflichkeit,udvariasság
ausserdem,azon kívül
gestern,tegnap
heute,ma
morgen,holnap
mitbringen,magával hozni
erzählen,elmesélni
der Monat,hónap
umsteigen,átszállni
die Hose,nadrág
das Hemd,ing
das Geschenk,ajándék
der Schuh,cipő
gratis,ingyen
billig,olcsó
teuer,drága
sofort,azonnal
verstehen,megérteni
bezahlen,fizetni
freundlich,barátságos
kurz,rövid
lang,hosszú
besuchen,meglátogatni
anschauen,megnézni
die Sonne,nap
der Spielplatz,játszótér
der Wagen,autó
der Hund,kutya
frühstücken,reggelizni
